year,week,prcp_week_in,TMAX,TMIN,TAVG,AWND,capacity_factor,rain_category,labor_hours,plant_start_week,plant_end_week,harvest_start_week,harvest_end_week,is_plant_window,is_harvest_window
2017,1,0.4612277421955687,25.728571428571428,9.25,12.363466556454927,11.757266757546574,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,2,0.795122672128557,39.24285714285714,21.81428571428572,23.87775227074064,13.58384505414187,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,3,2.5796684558382026,47.24285714285714,35.128571428571426,34.76346655645493,10.26160219719545,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,4,0.1480833446312972,37.77142857142857,29.285714285714285,28.020609413597786,14.19325054861133,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,5,0.023108547410615226,37.79285714285714,19.97142857142857,24.363466556454927,12.818811812428866,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,6,0.7658345590989108,46.72857142857143,24.442857142857143,30.534895127883498,14.237481592564759,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,7,0.008488854150837931,56.70503597122302,30.2,38.277752270740635,10.302556867522698,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,8,0.5003707918911022,58.392857142857146,36.65714285714286,42.50632369931208,13.762407416768674,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,9,1.5204480990168863,52.726618705035975,31.01428571428572,37.16346655645493,14.93862554856726,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,10,0.8059695413212958,50.48571428571429,31.9,35.87775227074064,15.068042306801361,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,11,0.5468210778677707,42.726618705035975,23.26428571428572,28.620609413597787,12.220873625651029,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,12,1.549687485536441,59.50359712230216,38.7,43.734895127883505,14.23911977937785,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,13,3.1479500809360164,55.364285714285714,40.57142857142857,42.13489512788351,11.436182142180947,0.4,heavy,32.40705320836932,15,21,32,50,False,False
2017,14,2.66172737929631,60.40714285714286,42.207142857142856,46.5348951278835,15.854371977084538,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,15,2.3023104042039377,72.27857142857142,48.33571428571429,56.67775227074065,12.579636537717729,0.7,moderate,32.40705320836932,15,21,32,50,True,False
2017,16,0.364077522469303,69.99285714285715,45.97142857142857,53.5348951278835,11.996442032257702,0.9,light,240.05224598792083,15,21,32,50,True,False
2017,17,6.50953632466814,65.95,45.52142857142857,49.44918084216922,14.155572251910261,0.2,very_heavy,240.05224598792083,15,21,32,50,True,False
2017,18,2.596646164139881,59.72857142857143,41.57142857142857,46.59203798502636,14.035984614554698,0.7,moderate,240.05224598792083,15,21,32,50,True,False
2017,19,2.123628346734813,74.24285714285715,49.73571428571429,58.277752270740635,9.286881043406929,0.7,moderate,240.05224598792083,15,21,32,50,True,False
2017,20,3.133801990684618,77.40714285714286,56.16428571428571,61.42060941359779,16.299958790245004,0.4,heavy,240.05224598792083,15,21,32,50,True,False
2017,21,1.653911750388405,71.71428571428571,53.21428571428572,56.649180842169216,9.25411730714513,0.7,moderate,32.40705320836932,15,21,32,50,True,False
2017,22,0.20448151616284882,82.28985507246377,55.89855072463768,64.8206094135978,7.781387362177264,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,23,0.08677495354190615,84.49285714285715,58.32374100719424,68.07775227074065,12.155346153127432,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,24,2.724450579410841,88.96428571428571,67.95,73.67775227074064,11.049570054291717,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,25,1.199286450310155,81.60714285714286,60.121428571428574,66.42060941359779,10.566304944430179,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,26,1.5463914659815505,81.22857142857143,58.58992805755396,64.99203798502636,9.660387636791437,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,27,0.4782054504972459,86.99285714285715,64.90714285714286,71.84918084216922,7.171981867707803,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,28,2.7037000470421244,84.97857142857143,65.7,71.56346655645493,8.803615933545393,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,29,4.638215587416587,89.63571428571429,67.60714285714286,74.36346655645492,7.2063837907826915,0.4,heavy,32.40705320836932,15,21,32,50,False,False
2017,30,1.749647161089531,82.8695652173913,62.35714285714285,68.22060941359778,8.307245329179139,0.7,moderate,32.40705320836932,15,21,32,50,False,False
2017,31,0.6361924583045221,80.97857142857143,59.68571428571428,65.84918084216922,6.590425549060871,0.9,light,32.40705320836932,15,21,32,50,False,False
2017,32,0.4253859135586941,80.44285714285714,56.56428571428572,64.30632369931207,6.220195329302542,0.9,light,32.40705320836932,15,21,32,50,False,True
2017,33,0.795122672128557,84.5,63.02857142857143,68.76346655645493,7.4832373621948935,0.9,light,32.40705320836932,15,21,32,50,False,True
2017,34,1.1823087420084777,79.2,57.47142857142857,63.306323699312074,7.61920686768136,0.7,moderate,32.40705320836932,15,21,32,50,False,True
2017,35,1.0422426485196392,77.8,54.52142857142857,60.90632369931207,7.201469230343422,0.7,moderate,32.40705320836932,15,21,32,50,False,True
2017,36,0.04577693201341091,75.75912408759125,50.07299270072993,57.87775227074064,8.700322794357362,0.9,light,360.0783689818813,15,21,32,50,False,True
2017,37,0.13891190717885568,81.45864661654136,55.27067669172932,63.42060941359779,6.703460439164076,0.9,light,360.0783689818813,15,21,32,50,False,True
