year,week,prcp_week_in,TMAX,TMIN,TAVG,AWND,capacity_factor,rain_category,labor_hours,plant_start_week,plant_end_week,harvest_start_week,harvest_end_week,is_plant_window,is_harvest_window,labor_hours_base,harvest_weather_factor
2017,14,0.2067399267399267,60.40714285714286,42.207142857142856,52.114285714285714,12.568831168831167,0.9715895638361758,light,76689.11681005408,15,20,37,45,False,False,5057910.0,1.0
2017,15,0.1788235294117647,72.27857142857142,48.33571428571429,62.25714285714286,9.972727272727273,0.9626449870106119,light,70551.92471967872,15,20,37,45,True,False,5057910.0,1.0
2017,16,0.0282783882783882,69.99285714285715,45.97142857142857,59.114285714285714,9.510389610389607,0.9941029461752685,light,387837.6983744479,15,20,37,45,True,False,8092656.0,1.0
2017,17,0.5056043956043956,65.95,45.52142857142857,55.02857142857143,11.222077922077922,0.9153065756117135,moderate,433172.3619412433,15,20,37,45,True,False,8092656.0,1.0
2017,18,0.2016849816849817,59.72857142857143,41.57142857142857,52.17142857142857,11.127272727272729,0.9471499592793869,light,372993.705642202,15,20,37,45,True,False,8092656.0,1.0
2017,19,0.1649450549450549,74.24285714285715,49.73571428571429,63.85714285714285,7.362337662337662,0.9708366167759812,light,366769.45514346514,15,20,37,45,True,False,8092656.0,1.0
2017,20,0.2434065934065934,77.40714285714286,56.16428571428571,67.0,12.92207792207792,0.9704747352529398,light,285409.0124583804,15,20,37,45,True,False,8092656.0,1.0
2017,21,0.1284615384615384,71.71428571428571,53.21428571428572,62.22857142857143,7.336363636363636,0.9757409482040357,light,140497.11789753338,15,20,37,45,False,False,8092656.0,1.0
2017,22,0.0158823529411764,82.28985507246377,55.89855072463768,70.4,6.1688311688311686,0.9975015979813459,light,133180.34427200147,15,20,37,45,False,False,8092656.0,1.0
2017,23,0.0067399267399267,84.49285714285715,58.32374100719424,73.65714285714286,9.636363636363637,0.9991758922520442,light,60356.776489767246,15,20,37,45,False,False,5057910.0,1.0
2017,24,0.2116117216117216,88.96428571428571,67.95,79.25714285714285,8.75974025974026,0.965677279413629,light,85113.87556543945,15,20,37,45,False,False,5057910.0,1.0
2017,25,0.0931501831501831,81.60714285714286,60.121428571428574,72.0,8.376623376623376,0.9809957533410849,light,65858.83970469028,15,20,37,45,False,False,5057910.0,1.0
2017,26,0.120110294117647,81.22857142857143,58.58992805755396,70.57142857142857,7.658441558441559,0.976938116221336,light,68037.3286283485,15,20,37,45,False,False,5057910.0,1.0
2017,27,0.0371428571428571,86.99285714285715,64.90714285714286,77.42857142857143,5.685714285714286,0.9925841588082683,light,75534.241723149,15,20,37,45,False,False,5057910.0,1.0
2017,28,0.21,84.97857142857143,65.7,77.14285714285714,6.979220779220779,0.9635524543126642,light,71772.21939422541,15,20,37,45,False,False,5057910.0,1.0
2017,29,0.3602564102564102,89.63571428571429,67.60714285714286,79.94285714285714,5.712987012987012,0.9285973875520221,light,70489.47031617511,15,20,37,45,False,False,5057910.0,1.0
2017,30,0.1358974358974359,82.8695652173913,62.35714285714285,73.8,6.585714285714286,0.9649562714272644,light,82963.20548792525,15,20,37,45,False,False,5057910.0,0.7
2017,31,0.0494139194139194,80.97857142857143,59.68571428571428,71.42857142857143,5.224675324675325,0.9903833444552502,light,78209.75753406904,15,20,37,45,False,False,5057910.0,1.0
2017,32,0.033040293040293,80.44285714285714,56.56428571428572,69.88571428571429,4.931168831168831,0.9931972679868906,light,81050.11711111112,15,20,37,45,False,False,5057910.0,1.0
2017,33,0.0617582417582417,84.5,63.02857142857143,74.34285714285714,5.932467532467532,0.9864799702301382,light,90705.00078525198,15,20,37,45,False,False,5057910.0,1.0
2017,34,0.0918315018315018,79.2,57.47142857142857,68.88571428571429,6.04025974025974,0.9790373129740444,light,81622.84261640202,15,20,37,45,False,False,5057910.0,1.0
2017,35,0.0809523809523809,77.8,54.52142857142857,66.48571428571428,5.709090909090909,0.9825970543853018,light,138858.22149128237,15,20,37,45,False,False,10115820.0,1.0
2017,36,0.0035555555555555,75.75912408759125,50.07299270072993,63.457142857142856,6.897333333333333,0.9991772743229772,light,524631.9250717764,15,20,37,45,False,False,10115820.0,1.0
2017,37,0.0107894736842105,81.45864661654136,55.27067669172932,69.0,5.314285714285714,0.9976785828183402,light,517287.87389065494,15,20,37,45,False,True,10115820.0,1.0
2017,38,0.0745488721804511,88.9624060150376,64.33834586466165,76.68571428571428,5.182857142857143,0.9851447534838342,light,537771.1133572293,15,20,37,45,False,True,10115820.0,1.0
2017,39,0.0006015037593984,79.3984962406015,52.3984962406015,65.97142857142858,6.251428571428572,0.9999355958130306,light,686471.5635787632,15,20,37,45,False,True,10115820.0,1.0
