iter	RMSE
287	0.6169557412
288	0.6078626941
289	0.5996883158
290	0.5961812672
291	0.588307499
292	0.5805846865
293	0.5756188827
294	0.5722868849
295	0.564923297
296	0.5601593678
297	0.5512783621
298	0.5441931859
299	0.5372923562
300	0.530313298
301	0.5235534581
302	0.5177812944
303	0.5120632098
304	0.5069293606
305	0.5016400024
306	0.4968871037
307	0.4923664659
308	0.4847188001
309	0.4804550398
310	0.4741773929
311	0.4693555176
312	0.466912546
313	0.4630177928
314	0.4551059678
315	0.450567978
316	0.4430073618
317	0.4367440787
318	0.4321281889
319	0.4255623128
320	0.4192188102
321	0.4157632024
322	0.4099559817
323	0.4089236735
324	0.4033280392
325	0.4024573374
326	0.4015270722
327	0.4005694256
328	0.3984862186
329	0.3950321112
330	0.3896906526
331	0.3888986865
332	0.3869058275
333	0.3861384517
334	0.3841921679
335	0.3809399241
336	0.3758516845
337	0.3751281766
338	0.3731568759
339	0.3712297246
340	0.3681279101
341	0.3651308765
342	0.3619553482
343	0.3599463037
344	0.3546840724
345	0.3517468289
346	0.3498227557
347	0.3447757678
348	0.3419798184
349	0.3364946069
350	0.3338217088
351	0.3289211102
352	0.3264978441
353	0.3235144099
354	0.321082601
355	0.316419469
356	0.3130207206
357	0.3105527894
358	0.3061810949
359	0.3042290378
360	0.3018950324
361	0.2987628614
362	0.2970257256
363	0.2944626692
364	0.2927756746
365	0.290299489
366	0.2855915856
367	0.2842133729
368	0.2801314081
369	0.2785434269
370	0.2764119301
371	0.274860036
372	0.2727042256
373	0.2684370188
374	0.2664602432
375	0.2648947671
376	0.2626513713
377	0.2606422724
378	0.2592193799
379	0.2579326757
380	0.2560219021
381	0.2518851231
382	0.2479145776
383	0.2467712923
384	0.2454322255
385	0.2430657721
386	0.2397998681
387	0.2366547939
388	0.2352346838
389	0.2321986466
390	0.2304994152
391	0.2275752083
392	0.2249244321
393	0.2223939983
394	0.2194958702
395	0.2178684089
396	0.2161131675
397	0.2144433041
398	0.2138955905
399	0.2123155519
400	0.2117823611
401	0.2093116507
402	0.2087986571
403	0.2082998008
404	0.2056441749
405	0.2040380363
406	0.2015280977
407	0.1989111469
408	0.1984872822
409	0.1980745559
410	0.1976726721
411	0.1955274543
412	0.1940528026
413	0.1936613176
414	0.1915550008
415	0.1901178574
416	0.1897399478
417	0.189371906
418	0.1870412925
419	0.1853619716
420	0.1842117505
421	0.182208613
422	0.1802715837
423	0.1789148434
424	0.1785742232
425	0.1772488046
426	0.1769151714
427	0.176590224
428	0.1747261224
429	0.1744119211
430	0.173116326
431	0.1709626016
432	0.1699398591
433	0.1683074382
434	0.1679777501
435	0.1676578643
436	0.1658016904
437	0.1654917257
438	0.1642445396
439	0.163981324
440	0.1615955798
441	0.1613000634
442	0.1600976376
443	0.159846642
444	0.1595654288
445	0.1583899514
446	0.1570896522
447	0.1550048201
448	0.1535437256
449	0.1532597247
450	0.1518460183
451	0.1515727354
452	0.1494104995
453	0.1491445667
454	0.1488864813
455	0.1477759818
456	0.1466546256
457	0.1454082343
458	0.1441091727
459	0.1430364934
460	0.142808845
461	0.141631111
462	0.1405818287
463	0.140351117
464	0.1386034527
465	0.1369629781
466	0.1367385076
467	0.1355394671
468	0.1353222012
469	0.1336607023
470	0.1321123301
471	0.1316518394
472	0.1314335991
473	0.1298553926
474	0.1296442537
475	0.128093864
476	0.1262919306
477	0.1260874615
478	0.1252120819
479	0.1250153884
480	0.1232860064
481	0.1231036591
482	0.1229255838
483	0.1215030781
484	0.1208225592
485	0.120429366
486	0.1196276043
487	0.1180691244
488	0.1172904941
489	0.1171284848
490	0.1159082005
491	0.1151471251
492	0.1144010932
493	0.1134916297
494	0.1127606578
495	0.1120441457
496	0.1108922449
497	0.1101923816
498	0.1095063849
499	0.1086396032
