iter	RMSE
0	38.50640421
1	37.25965502
2	36.1572719
3	35.23080617
4	34.30766022
5	33.57083322
6	32.74119975
7	31.91919701
8	31.09094482
9	30.31019376
10	29.6084581
11	28.98970814
12	28.33774725
13	27.71952096
14	27.02870241
15	26.46474448
16	25.93436594
17	25.48882326
18	24.96839458
19	24.50345914
20	24.07479171
21	23.56270869
22	23.16408512
23	22.66693572
24	22.19342587
25	21.73834432
26	21.38833097
27	20.94701109
28	20.55080718
29	20.00956329
30	19.66696354
31	19.34792643
32	19.06543721
33	18.79336406
34	18.41060899
35	18.12412825
36	17.78781102
37	17.52492813
38	17.22085024
39	16.97313441
40	16.69821422
41	16.35527833
42	16.06281936
43	15.80574476
44	15.59237709
45	15.36809066
46	15.07786257
47	14.88646011
48	14.69799604
49	14.49153462
50	14.25371924
51	14.01129324
52	13.7897252
53	13.55192676
54	13.35874019
55	13.14283428
56	12.99534365
57	12.77864058
58	12.60919189
59	12.41278772
60	12.2597017
61	12.079526
62	11.79550263
63	11.64153584
64	11.47845817
65	11.29533465
66	11.05744348
67	10.86222191
68	10.7099675
69	10.56592498
70	10.35470665
71	10.20387565
72	10.04666713
73	9.836904441
74	9.729181125
75	9.575647626
76	9.433084512
77	9.283022456
78	9.11395942
79	8.992962232
80	8.817350283
81	8.690247273
82	8.530255541
83	8.379888821
84	8.251810164
85	8.131113594
86	8.02885254
87	7.930384843
88	7.817251905
89	7.700387076
90	7.522649387
91	7.383784409
92	7.27490575
93	7.120871206
94	7.001620862
95	6.890638302
96	6.795829152
97	6.721086855
98	6.571395749
99	6.45504205
100	6.325757808
101	6.195914151
102	6.093180324
103	5.971729138
104	5.832109541
105	5.73449571
106	5.648468083
107	5.573161544
108	5.478822593
109	5.348509124
110	5.233159267
111	5.134076466
112	5.040190161
113	4.9543889
114	4.876444591
115	4.794802943
116	4.706508429
117	4.607467303
118	4.532423992
119	4.453983246
120	4.370789103
121	4.284804534
122	4.208647864
123	4.135364257
124	4.039604777
125	3.954338915
126	3.911027706
127	3.895851981
128	3.829085168
129	3.766480684
130	3.716763798
131	3.638881721
132	3.61439654
133	3.556221854
134	3.509918765
135	3.458927645
136	3.396133424
137	3.342882934
138	3.294811464
139	3.244652241
140	3.224658387
141	3.205488865
142	3.18498366
143	3.129457593
144	3.089441996
145	3.036482884
146	2.984338482
147	2.949449915
148	2.937133453
149	2.897270339
150	2.865138151
151	2.826860191
152	2.809408018
153	2.762594843
154	2.714510184
155	2.67978997
156	2.651242037
157	2.623585999
158	2.596797495
159	2.570852715
160	2.533433136
161	2.499747502
162	2.466320231
163	2.431789094
164	2.386831281
165	2.343525357
166	2.32105507
167	2.299299751
168	2.268506745
169	2.22813205
170	2.195977773
171	2.164109294
172	2.144389578
173	2.125277218
174	2.097645202
175	2.061279644
176	2.02627913
177	2.017618523
178	1.985307363
179	1.976945224
180	1.968806606
181	1.94355626
182	1.909966147
183	1.878490403
184	1.847091267
185	1.818664095
186	1.795816765
187	1.771024928
188	1.754160238
189	1.735698231
190	1.714257626
191	1.69254506
192	1.671448891
193	1.650952925
194	1.644514436
195	1.618398721
196	1.599567077
197	1.578473875
198	1.563903569
199	1.557916219
200	1.533198464
201	1.517161778
202	1.494826898
203	1.481401816
204	1.475807149
205	1.456137212
206	1.441335956
207	1.420465059
208	1.399684073
209	1.387597975
210	1.382489324
211	1.365982845
212	1.352541177
213	1.335195224
214	1.318043535
215	1.313337464
216	1.294984902
217	1.290427478
218	1.285991554
219	1.266066888
220	1.26178574
221	1.257618899
222	1.240432681
223	1.236399245
224	1.221918371
225	1.207300578
226	1.191229614
227	1.18738496
228	1.183644095
229	1.170016043
230	1.161841061
231	1.144391093
232	1.140871684
233	1.128003963
234	1.123419521
235	1.115164959
236	1.100471057
237	1.085166825
238	1.070395643
239	1.059522465
240	1.049230095
241	1.038871642
242	1.029110032
243	1.019240965
244	1.009663283
245	1.000533987
246	0.9893878826
247	0.9747009013
248	0.9633577688
249	0.954485561
250	0.9424988298
251	0.9318936195
252	0.9211688968
253	0.9098140741
254	0.8990123772
255	0.8888591586
256	0.8821507916
257	0.8756054576
258	0.8643437626
259	0.8580142318
260	0.8440246615
261	0.8366115392
262	0.8306106216
263	0.8198231866
264	0.8055307925
265	0.7998342097
266	0.7942735632
267	0.7832632979
268	0.7725598989
269	0.7660532338
270	0.7581352294
271	0.7518707363
272	0.7442588929
273	0.7364772403
274	0.726381796
275	0.7170978845
276	0.7079976757
277	0.696213401
278	0.6890454026
279	0.6777728032
280	0.6686864236
281	0.6579400562
282	0.654022048
283	0.6501888021
284	0.639939969
285	0.6316686107
286	0.6252463258
