field_id,plant_week,harvest_week,plant_week_continuous,harvest_week_continuous,early_penalty,late_penalty,status,objective_makespan
F001,20,36,20.0,36.0,0.0,0.0,2,36.0
F002,20,36,20.0,36.0,0.0,0.0,2,36.0
F003,20,36,20.0,36.0,0.0,0.0,2,36.0
F004,19,36,19.0,36.0,0.0,0.0,2,36.0
F005,20,36,20.0,36.0,0.0,0.0,2,36.0
F006,20,36,20.0,36.0,0.0,0.0,2,36.0
F007,20,36,20.0,36.0,0.0,0.0,2,36.0
F008,20,36,20.0,36.0,0.0,0.0,2,36.0
F009,20,36,20.0,36.0,0.0,0.0,2,36.0
F010,20,36,20.0,36.0,0.0,0.0,2,36.0
F011,20,36,20.0,36.0,0.0,0.0,2,36.0
F012,20,36,20.0,36.0,0.0,0.0,2,36.0
F013,20,36,20.0,36.0,0.0,0.0,2,36.0
F014,20,36,20.0,36.0,0.0,0.0,2,36.0
F015,20,36,20.0,36.0,0.0,0.0,2,36.0
F016,20,36,20.0,36.0,0.0,0.0,2,36.0
F017,20,36,20.0,36.0,0.0,0.0,2,36.0
F018,20,36,20.0,36.0,0.0,0.0,2,36.0
F019,20,36,20.0,36.0,0.0,0.0,2,36.0
F020,20,36,20.0,36.0,0.0,0.0,2,36.0
F021,20,36,20.0,36.0,0.0,0.0,2,36.0
F022,20,36,20.0,36.0,0.0,0.0,2,36.0
F023,19,36,19.0,36.0,0.0,0.0,2,36.0
F024,20,36,20.0,36.0,0.0,0.0,2,36.0
F025,20,36,20.0,36.0,0.0,0.0,2,36.0
