year,week,prcp_week_in,TMAX,TMIN,TAVG,AWND
2017,9,4.87,48.457142857142856,29.771428571428572,38.8,12.832142857142857
2017,10,1.75,45.08571428571429,29.942857142857143,37.81428571428572,14.225
2017,11,1.18,40.22857142857143,24.34285714285714,32.02857142857143,10.303571428571429
2017,12,4.87,54.371428571428574,37.0,45.542857142857144,12.071428571428571
2017,13,7.41,53.94285714285714,38.542857142857144,46.17142857142857,9.896428571428572
2017,14,6.92,59.542857142857144,42.65714285714286,50.81428571428572,13.278571428571428
2017,15,6.22,67.48571428571428,46.6,57.15714285714286,10.903571428571428
2017,16,1.28,67.17142857142858,44.51428571428571,55.885714285714286,10.325000000000001
2017,17,15.96,62.8,45.714285714285715,54.457142857142856,12.653571428571428
2017,18,3.4000000000000004,58.22857142857143,42.142857142857146,50.24285714285714,12.178571428571429
2017,19,4.27,70.37142857142857,47.91428571428571,59.02857142857143,8.37142857142857
2017,20,10.01,73.28571428571429,53.51428571428571,63.9,14.160714285714286
2017,21,4.09,70.74285714285715,53.68571428571428,62.0,9.121428571428572
2017,22,0.01,81.25714285714285,57.91428571428571,69.88571428571429,8.792857142857143
2017,23,2.04,84.4,61.57142857142857,73.14285714285714,11.08148148148148
2017,24,4.47,88.05714285714286,68.57142857142857,78.11428571428571,10.078571428571427
2017,25,3.69,78.97142857142858,60.51428571428571,69.95714285714286,10.667857142857143
2017,26,3.83,81.2,61.05882352941177,71.22857142857143,9.639285714285714
2017,27,0.5,86.28571428571429,66.45714285714286,76.34285714285714,7.546428571428572
2017,28,7.23,82.91428571428571,66.02857142857142,74.65714285714286,8.27142857142857
2017,29,13.36,87.37142857142857,67.17142857142858,77.11428571428571,6.939285714285715
2017,30,1.63,81.77142857142857,65.68571428571428,73.9,8.289285714285715
2017,31,4.16,80.65714285714286,62.51428571428571,71.64285714285714,7.035714285714286
2017,32,1.72,80.02857142857142,60.22857142857143,70.17142857142858,6.417857142857143
2017,33,2.9499999999999997,83.82352941176471,65.05882352941177,74.07352941176471,7.518518518518518
2017,34,3.84,78.45714285714286,60.02857142857143,69.32857142857142,8.457142857142857
2017,35,2.13,77.54285714285714,58.6,67.84285714285714,7.703571428571428
2017,36,0.15000000000000002,73.14285714285714,53.4,63.18571428571428,9.364285714285714
2017,37,0.2,82.05714285714286,60.65714285714286,71.34285714285714,7.103571428571429
2017,38,1.48,88.11428571428571,67.05714285714286,77.5,7.364285714285714
2017,39,0.8099999999999999,76.02857142857142,56.42857142857143,66.37142857142857,8.792857142857143
2017,40,8.05,75.57142857142857,58.371428571428574,66.9,9.196428571428571
2017,41,23.220000000000002,67.74285714285715,52.6,60.285714285714285,9.585714285714285
2017,42,3.0700000000000003,72.2,49.457142857142856,60.65714285714286,10.710714285714285
2017,43,5.99,50.91428571428571,38.17142857142857,44.6,11.489285714285714
2017,44,3.42,48.51428571428571,37.8,43.42857142857143,10.442857142857141
2017,45,0.41000000000000003,41.628571428571426,27.514285714285716,34.714285714285715,8.971428571428572
2017,46,5.33,45.08571428571429,31.485714285714284,38.4,11.614285714285714
2017,47,0.12,49.457142857142856,28.34285714285714,38.94285714285714,10.967857142857143
2017,48,0.12,54.97142857142857,33.51428571428571,44.5,8.703571428571427
2017,49,0.73,38.74285714285714,23.257142857142856,31.542857142857144,14.642857142857142
2017,50,0.39999999999999997,37.6,22.114285714285714,29.914285714285715,10.607142857142858
2017,51,0.72,37.8,27.314285714285713,33.042857142857144,9.839285714285714
2017,52,0.5,14.675,1.725,8.4375,9.3125
2018,1,4.51,16.775,0.7,8.4375,10.465625
2018,2,1.47,33.588235294117645,16.764705882352942,26.142857142857142,12.696428571428571
2018,3,0.46,32.42857142857143,17.02857142857143,24.457142857142856,11.153571428571428
2018,4,3.7,42.2,28.571428571428573,35.785714285714285,11.799999999999999
2018,5,0.59,31.142857142857142,11.942857142857143,21.942857142857143,12.596428571428572
2018,6,3.92,21.4,7.542857142857143,14.614285714285714,8.660714285714286
2018,7,0.49,38.628571428571426,18.514285714285716,28.585714285714285,9.264285714285714
2018,8,16.79,45.34285714285714,29.142857142857142,37.48571428571429,12.953571428571427
2018,9,2.63,49.97142857142857,31.457142857142856,40.65714285714286,10.364285714285714
2018,10,1.07,38.51428571428571,25.685714285714287,32.142857142857146,10.575000000000001
2018,11,0.91,45.142857142857146,26.085714285714285,35.51428571428571,9.585714285714285
2018,12,0.9199999999999999,43.114285714285714,28.428571428571427,35.957142857142856,12.85
2018,13,3.66,48.542857142857144,32.114285714285714,40.31428571428572,10.278571428571428
2018,14,2.14,39.628571428571426,22.742857142857144,31.542857142857144,10.710714285714285
2018,15,6.9,50.628571428571426,34.77142857142857,42.67142857142857,12.471428571428572
2018,16,0.75,51.142857142857146,32.74285714285714,41.82857142857143,10.082142857142857
2018,17,0.35,61.34285714285714,39.4,50.41428571428571,9.892857142857142
2018,18,3.82,78.26470588235294,54.885714285714286,66.35714285714286,11.696428571428571
2018,19,4.88,71.71428571428571,51.8,62.0,9.907142857142857
2018,20,5.59,75.22857142857143,53.82857142857143,64.51428571428572,9.067857142857143
2018,21,6.1499999999999995,83.74285714285715,61.4,72.05714285714286,6.732142857142857
2018,22,6.19,84.45714285714286,64.08571428571429,74.18571428571428,9.307142857142859
2018,23,9.02,78.8,58.94285714285714,68.75714285714285,8.575
2018,24,4.26,84.4,66.2,75.34285714285714,8.39642857142857
2018,25,14.16,79.54285714285714,64.8,72.31428571428572,8.264285714285714
2018,26,6.55,86.57142857142857,69.54285714285714,78.04285714285714,9.232142857142858
2018,27,3.53,86.08571428571429,67.34285714285714,76.72857142857143,7.964285714285714
2018,28,5.01,87.65714285714286,69.91428571428571,78.75714285714285,6.864285714285714
2018,29,3.91,82.28571428571429,66.91428571428571,74.55714285714286,9.867857142857144
2018,30,0.72,81.8,63.02857142857143,72.42857142857143,6.792857142857143
2018,31,1.87,85.57142857142857,66.14285714285714,75.7,7.539285714285714
2018,32,4.27,86.17142857142858,68.42857142857143,77.21428571428571,6.1571428571428575
2018,33,3.1,86.08571428571429,68.65714285714286,77.22857142857143,5.746428571428572
2018,34,4.72,81.42857142857143,64.6,72.82857142857142,8.735714285714286
2018,35,8.01,84.97142857142858,67.14285714285714,76.04285714285714,9.25
2018,36,10.73,78.71428571428571,65.08571428571429,72.0,10.610714285714286
2018,37,0.0,83.34285714285714,61.31428571428572,72.08571428571429,6.846428571428571
2018,38,5.32,79.22857142857143,60.285714285714285,69.97142857142858,8.785714285714286
2018,39,3.17,68.2,50.51428571428571,59.642857142857146,8.178571428571429
2018,40,12.09,71.77142857142857,54.17142857142857,62.81428571428572,9.857142857142858
2018,41,5.47,61.25714285714286,45.31428571428572,53.6,10.239285714285714
2018,42,0.51,54.457142857142856,33.94285714285714,44.22857142857143,11.164285714285715
2018,43,1.3399999999999999,54.97142857142857,39.628571428571426,47.114285714285714,8.317857142857143
2018,44,5.890000000000001,54.857142857142854,40.48571428571429,47.74285714285714,9.307142857142859
2018,45,2.54,40.65714285714286,28.942857142857143,35.17142857142857,10.982142857142858
2018,46,1.1,34.94285714285714,22.914285714285715,29.242857142857144,8.867857142857144
2018,47,4.8,41.17142857142857,29.65714285714286,35.41428571428571,10.978571428571428
2018,48,5.36,36.42857142857143,25.685714285714287,31.0,10.960714285714285
2018,49,0.14,30.97142857142857,20.057142857142857,25.714285714285715,8.157142857142857
2018,50,1.48,40.94285714285714,25.0,32.714285714285715,8.053571428571429
2018,51,0.43,41.91428571428571,29.057142857142857,35.642857142857146,9.217857142857143
2018,52,3.86,40.457142857142856,25.228571428571428,32.714285714285715,9.971428571428572
2019,1,0.86,39.225,26.325,32.775,10.93125
2019,2,1.6600000000000001,34.65714285714286,23.142857142857142,29.15714285714286,11.785714285714286
2019,3,1.25,27.97142857142857,18.885714285714286,23.857142857142858,10.714285714285714
2019,4,2.67,20.457142857142856,3.257142857142857,12.0,10.664285714285715
2019,5,1.66,20.8,1.5142857142857142,10.771428571428572,11.682142857142855
2019,6,4.62,30.885714285714286,15.342857142857143,23.728571428571428,10.667857142857143
2019,7,2.83,31.485714285714284,17.742857142857144,24.84285714285714,12.532142857142857
2019,8,3.3,36.857142857142854,20.314285714285713,28.614285714285714,11.660714285714286
2019,9,0.41000000000000003,26.428571428571427,12.571428571428571,19.857142857142858,9.435714285714285
2019,10,3.11,29.771428571428572,14.6,21.957142857142856,12.421428571428573
2019,11,4.68,47.2,30.085714285714285,38.52857142857143,11.771428571428572
2019,12,1.01,48.714285714285715,31.085714285714285,39.98571428571429,8.496428571428572
2019,13,4.33,50.77142857142857,31.114285714285714,40.957142857142856,11.12142857142857
2019,14,3.48,57.0,38.4,47.142857142857146,9.317857142857141
2019,15,6.1,54.97142857142857,37.82857142857143,46.75714285714286,13.942857142857141
2019,16,3.2600000000000002,65.85714285714286,41.142857142857146,53.22857142857143,12.4
2019,17,4.54,62.51428571428571,44.31428571428572,53.6,10.978571428571428
2019,18,13.13,59.114285714285714,43.457142857142856,51.128571428571426,9.060714285714285
2019,19,8.43,61.885714285714286,44.57142857142857,53.2,10.764285714285714
2019,20,5.43,72.54285714285714,49.08571428571429,60.9,9.49642857142857
2019,21,5.97,71.85714285714286,55.142857142857146,63.4,11.255555555555555
2019,22,11.0,77.17142857142858,55.65714285714286,66.48571428571428,8.47857142857143
2019,23,1.93,80.54285714285714,59.628571428571426,70.1,9.217857142857143
2019,24,5.52,74.82857142857142,55.6,65.31428571428572,10.914285714285715
2019,25,4.3,76.08571428571429,58.77142857142857,67.28571428571429,8.346428571428572
2019,26,5.11,86.85714285714286,67.48571428571428,76.85714285714286,8.489285714285714
2019,27,8.46,87.37142857142857,69.68571428571428,78.3,7.735714285714286
2019,28,2.0,87.8,67.74285714285715,77.72857142857143,7.539285714285714
2019,29,10.58,88.62857142857143,72.57142857142857,80.38571428571429,9.189285714285715
2019,30,0.48,83.48571428571428,64.28571428571429,74.0,8.707142857142857
2019,31,2.68,82.62857142857143,64.22857142857143,73.48571428571428,6.417857142857143
2019,32,1.62,85.05714285714286,65.74285714285715,75.38571428571429,6.832142857142857
2019,33,11.07,81.94285714285714,66.34285714285714,73.91428571428571,6.796428571428572
2019,34,2.2199999999999998,78.97142857142858,63.68571428571428,71.32857142857142,7.785714285714286
2019,35,6.5,76.88571428571429,60.91428571428571,68.82857142857142,8.778571428571428
2019,36,1.26,75.28571428571429,59.97142857142857,67.65714285714286,8.1
2019,37,8.55,80.85714285714286,62.857142857142854,71.71428571428571,8.867857142857144
2019,38,4.96,82.08571428571429,65.62857142857143,73.8,8.035714285714286
2019,39,11.24,74.11428571428571,57.371428571428574,65.8,9.696428571428571
2019,40,7.09,71.94285714285714,54.628571428571426,63.34285714285714,9.764285714285714
2019,41,3.03,64.85714285714286,43.371428571428574,54.48571428571429,10.189285714285715
2019,42,0.16,60.17142857142857,41.114285714285714,50.27142857142857,8.267857142857142
2019,43,9.91,55.31428571428572,41.25714285714286,48.51428571428571,11.142857142857142
2019,44,5.32,44.885714285714286,30.8,37.871428571428574,9.642857142857142
2019,45,0.29,43.05714285714286,26.82857142857143,35.371428571428574,9.892857142857142
2019,46,0.89,33.65714285714286,18.6,26.114285714285714,9.514285714285714
2019,47,2.5,44.628571428571426,32.08571428571429,38.22857142857143,8.346428571428572
2019,48,5.18,44.542857142857144,32.628571428571426,38.91428571428571,11.946428571428571
2019,49,0.0,41.48571428571429,26.885714285714286,34.02857142857143,9.657142857142857
2019,50,0.69,32.42857142857143,17.114285714285714,25.485714285714284,9.514285714285714
2019,51,0.02,36.114285714285714,19.485714285714284,27.485714285714284,8.707142857142857
2019,52,4.69,50.542857142857144,33.628571428571426,42.24285714285714,9.146428571428572
2020,1,0.07,41.04,27.08,33.86,10.59
2020,2,7.23,38.48571428571429,22.6,30.84285714285714,11.825000000000001
2020,3,3.1500000000000004,30.714285714285715,15.371428571428572,23.771428571428572,11.825000000000001
2020,4,2.0100000000000002,32.82857142857143,23.942857142857143,28.285714285714285,8.7
2020,5,0.33999999999999997,36.457142857142856,29.34285714285714,32.714285714285715,7.160714285714286
2020,6,1.48,35.51428571428571,23.17142857142857,29.65714285714286,10.760714285714286
2020,7,0.82,31.17142857142857,12.571428571428571,22.12857142857143,9.192857142857145
2020,8,0.96,38.17142857142857,19.571428571428573,28.914285714285715,10.539285714285715
2020,9,0.49,38.42857142857143,24.8,31.52857142857143,12.114285714285714
2020,10,0.49000000000000005,50.51428571428571,31.257142857142856,40.77142857142857,12.146428571428572
2020,11,3.9,47.457142857142856,34.371428571428574,41.128571428571426,10.882142857142856
2020,12,4.5,45.94285714285714,32.08571428571429,38.857142857142854,9.921428571428573
2020,13,5.38,53.91428571428571,37.74285714285714,45.371428571428574,9.921428571428573
2020,14,0.43,54.77142857142857,35.77142857142857,45.128571428571426,8.803571428571429
2020,15,3.71,62.628571428571426,40.97142857142857,51.58571428571429,10.960714285714285
2020,16,1.3599999999999999,48.857142857142854,30.142857142857142,39.32857142857143,11.721428571428572
2020,17,3.97,59.4,39.77142857142857,49.17142857142857,10.507142857142856
2020,18,11.51,68.71428571428571,46.2,57.44285714285714,11.0
2020,19,2.07,55.91428571428571,38.8,47.6,11.278571428571428
2020,20,26.92,66.25714285714285,47.714285714285715,56.65714285714286,9.725
2020,21,2.85,71.57142857142857,55.91428571428571,63.385714285714286,9.271428571428572
2020,22,3.42,79.51428571428572,60.97142857142857,70.21428571428571,8.689285714285713
2020,23,4.64,84.62857142857143,63.31428571428572,73.98571428571428,9.778571428571428
2020,24,2.06,80.65714285714286,60.371428571428574,70.6,12.442857142857141
2020,25,3.8600000000000003,85.51428571428572,63.628571428571426,74.38571428571429,7.160714285714286
2020,26,11.69,83.48571428571428,65.25714285714285,74.18571428571428,7.660714285714286
2020,27,3.67,89.65714285714286,71.17142857142858,80.37142857142857,6.510714285714286
2020,28,6.07,88.82857142857142,70.65714285714286,79.85714285714286,7.253571428571428
2020,29,5.16,85.6,67.57142857142857,76.75714285714285,8.610714285714286
2020,30,2.37,85.82857142857142,67.94285714285714,76.78571428571429,7.185714285714285
2020,31,4.51,83.48571428571428,67.17142857142858,75.5,7.885714285714286
2020,32,0.61,80.68571428571428,62.17142857142857,71.27142857142857,7.478571428571429
2020,33,3.88,85.22857142857143,65.65714285714286,75.48571428571428,7.139285714285714
2020,34,0.63,84.28571428571429,64.08571428571429,74.1,6.325
2020,35,0.52,88.62857142857143,70.0,79.42857142857143,8.689285714285715
2020,36,4.699999999999999,81.62857142857143,61.371428571428574,71.34285714285714,9.328571428571427
2020,37,7.46,70.45714285714286,58.51428571428571,64.47142857142858,8.657142857142857
