year,week,prcp_week_in,TMAX,TMIN,TAVG,AWND,capacity_factor,rain_category,labor_hours,plant_start_week,plant_end_week,harvest_start_week,harvest_end_week,is_plant_window,is_harvest_window,labor_hours_base,harvest_weather_factor
2017,42,0.2760526315789473,72.33082706766918,46.71428571428572,59.8,8.555714285714286,0.7,light,1868048.8892675082,15,21,36,45.0,False,True,4046328.0,1.0
2017,43,1.11577358490566,53.278195488721806,36.93233082706767,45.02857142857143,9.998571428571427,0.4,moderate,1868048.8892675082,15,21,36,45.0,False,True,4046328.0,0.5599999999999999
2017,44,0.4697368421052629,52.5187969924812,38.04511278195488,45.57142857142857,9.084285714285716,0.7,light,1868048.8892675082,15,21,36,45.0,False,True,4046328.0,0.8
2017,45,0.2903018867924525,45.01503759398496,28.37593984962406,36.25714285714286,7.814285714285714,0.7,light,934024.4446337541,15,21,36,45.0,False,True,2023164.0,0.6
2017,46,1.2586842105263152,47.95488721804512,30.56390977443609,39.885714285714286,10.335714285714284,0.4,moderate,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.42
2017,47,0.0073684210526311,51.721804511278194,27.113636363636363,40.48571428571429,9.617142857142856,1.0,light,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.8
2017,48,0.0199619771863113,57.38461538461539,30.589147286821703,44.94285714285714,7.227142857142857,1.0,light,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.8
2017,49,0.1687109375,41.983870967741936,23.298387096774192,34.02857142857143,13.048529411764704,1.0,light,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.6
2017,50,0.0316666666666665,41.54761904761905,22.96031746031746,32.77142857142857,10.46142857142857,1.0,light,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.6
2017,51,0.2155555555555549,41.73809523809524,28.15079365079365,35.31428571428572,8.545714285714286,1.0,light,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.6
2017,52,0.2148109965635732,17.78082191780822,2.664383561643836,10.175,7.701234567901234,1.0,light,58376.52778960963,15,21,36,45.0,False,False,505791.0,0.6
