station,date,AWND,PRCP,TAVG,TMAX,TMIN,year,week
GHCND:USW00094846,2017-03-15,11.4,0.0,24.0,33.0,16.0,2017,11
GHCND:USW00094846,2017-03-16,6.5,0.0,29.0,42.0,18.0,2017,11
GHCND:USW00094846,2017-03-17,10.3,0.03,38.0,50.0,36.0,2017,11
GHCND:USW00094846,2017-03-18,13.0,0.0,42.0,45.0,32.0,2017,11
GHCND:USW00094846,2017-03-19,8.5,0.0,41.0,53.0,29.0,2017,11
GHCND:USW00094846,2017-03-20,8.3,0.13,49.0,54.0,37.0,2017,12
GHCND:USW00094846,2017-03-21,12.3,0.0,44.0,54.0,33.0,2017,12
GHCND:USW00094846,2017-03-22,11.9,0.0,33.0,37.0,28.0,2017,12
GHCND:USW00094846,2017-03-23,12.8,0.02,37.0,50.0,29.0,2017,12
GHCND:USW00094846,2017-03-24,15.7,0.0,58.0,82.0,42.0,2017,12
GHCND:USW00094846,2017-03-25,11.6,0.71,43.0,47.0,41.0,2017,12
GHCND:USW00094846,2017-03-26,7.6,0.3,51.0,62.0,47.0,2017,12
GHCND:USW00094846,2017-03-27,7.4,0.0,50.0,52.0,42.0,2017,13
GHCND:USW00094846,2017-03-28,10.5,0.0,44.0,50.0,36.0,2017,13
GHCND:USW00094846,2017-03-29,11.9,0.11,41.0,49.0,35.0,2017,13
GHCND:USW00094846,2017-03-30,14.5,1.84,43.0,45.0,39.0,2017,13
GHCND:USW00094846,2017-03-31,14.5,0.02,39.0,44.0,36.0,2017,13
GHCND:USW00094846,2017-04-01,5.8,0.0,45.0,59.0,34.0,2017,13
GHCND:USW00094846,2017-04-02,6.0,0.0,50.0,61.0,42.0,2017,13
GHCND:USW00094846,2017-04-03,8.5,0.19,50.0,54.0,46.0,2017,14
GHCND:USW00094846,2017-04-04,8.7,0.02,49.0,56.0,43.0,2017,14
GHCND:USW00094846,2017-04-05,18.1,1.04,45.0,47.0,40.0,2017,14
GHCND:USW00094846,2017-04-06,17.0,0.29,43.0,51.0,38.0,2017,14
GHCND:USW00094846,2017-04-07,11.0,0.0,44.0,54.0,37.0,2017,14
GHCND:USW00094846,2017-04-08,13.9,0.0,50.0,68.0,37.0,2017,14
GHCND:USW00094846,2017-04-09,18.8,0.0,64.0,77.0,57.0,2017,14
GHCND:USW00094846,2017-04-10,13.9,0.32,69.0,78.0,41.0,2017,15
GHCND:USW00094846,2017-04-11,9.4,0.0,47.0,54.0,41.0,2017,15
GHCND:USW00094846,2017-04-12,7.2,0.0,48.0,59.0,38.0,2017,15
GHCND:USW00094846,2017-04-13,9.2,0.19,50.0,60.0,44.0,2017,15
GHCND:USW00094846,2017-04-14,9.4,0.06,54.0,66.0,47.0,2017,15
GHCND:USW00094846,2017-04-15,16.1,0.09,70.0,82.0,61.0,2017,15
GHCND:USW00094846,2017-04-16,11.6,0.59,68.0,73.0,52.0,2017,15
GHCND:USW00094846,2017-04-17,6.9,0.0,59.0,69.0,44.0,2017,16
GHCND:USW00094846,2017-04-18,11.4,0.0,55.0,76.0,41.0,2017,16
GHCND:USW00094846,2017-04-19,9.6,0.01,65.0,70.0,45.0,2017,16
GHCND:USW00094846,2017-04-20,15.0,0.0,56.0,73.0,48.0,2017,16
GHCND:USW00094846,2017-04-21,12.5,0.0,50.0,53.0,44.0,2017,16
GHCND:USW00094846,2017-04-22,8.5,0.0,50.0,60.0,38.0,2017,16
GHCND:USW00094846,2017-04-23,5.8,0.0,54.0,72.0,37.0,2017,16
GHCND:USW00094846,2017-04-24,7.6,0.0,55.0,73.0,40.0,2017,17
GHCND:USW00094846,2017-04-25,12.1,0.0,64.0,79.0,52.0,2017,17
GHCND:USW00094846,2017-04-26,11.4,0.22,69.0,74.0,60.0,2017,17
GHCND:USW00094846,2017-04-27,15.9,0.14,54.0,62.0,41.0,2017,17
GHCND:USW00094846,2017-04-28,7.6,0.0,48.0,60.0,40.0,2017,17
GHCND:USW00094846,2017-04-29,18.8,1.95,45.0,46.0,40.0,2017,17
GHCND:USW00094846,2017-04-30,13.4,1.32,44.0,47.0,42.0,2017,17
GHCND:USW00094846,2017-05-01,14.8,0.09,50.0,57.0,45.0,2017,18
GHCND:USW00094846,2017-05-02,14.8,0.01,46.0,51.0,41.0,2017,18
GHCND:USW00094846,2017-05-03,6.0,0.0,48.0,56.0,35.0,2017,18
GHCND:USW00094846,2017-05-04,11.2,0.0,49.0,54.0,43.0,2017,18
GHCND:USW00094846,2017-05-05,13.4,0.0,49.0,61.0,41.0,2017,18
GHCND:USW00094846,2017-05-06,12.5,0.11,51.0,58.0,44.0,2017,18
GHCND:USW00094846,2017-05-07,8.5,0.0,48.0,59.0,36.0,2017,18
GHCND:USW00094846,2017-05-08,6.9,0.02,46.0,57.0,34.0,2017,19
GHCND:USW00094846,2017-05-09,6.7,0.13,48.0,61.0,42.0,2017,19
GHCND:USW00094846,2017-05-10,7.6,0.87,55.0,67.0,44.0,2017,19
GHCND:USW00094846,2017-05-11,9.2,0.0,55.0,65.0,49.0,2017,19
GHCND:USW00094846,2017-05-12,6.0,0.0,59.0,73.0,45.0,2017,19
GHCND:USW00094846,2017-05-13,8.7,0.0,62.0,82.0,47.0,2017,19
GHCND:USW00094846,2017-05-14,7.8,0.0,62.0,71.0,51.0,2017,19
GHCND:USW00094846,2017-05-15,8.9,0.02,62.0,82.0,50.0,2017,20
GHCND:USW00094846,2017-05-16,14.5,0.0,74.0,87.0,61.0,2017,20
GHCND:USW00094846,2017-05-17,20.1,0.37,78.0,84.0,62.0,2017,20
GHCND:USW00094846,2017-05-18,19.0,0.0,74.0,78.0,48.0,2017,20
GHCND:USW00094846,2017-05-19,16.1,0.23,48.0,50.0,43.0,2017,20
GHCND:USW00094846,2017-05-20,10.5,0.34,51.0,64.0,48.0,2017,20
GHCND:USW00094846,2017-05-21,12.8,0.05,61.0,65.0,51.0,2017,20
GHCND:USW00094846,2017-05-22,12.8,0.01,58.0,73.0,48.0,2017,21
GHCND:USW00094846,2017-05-23,6.7,0.33,61.0,62.0,55.0,2017,21
GHCND:USW00094846,2017-05-24,14.1,0.17,57.0,62.0,53.0,2017,21
GHCND:USW00094846,2017-05-25,8.7,0.0,59.0,69.0,52.0,2017,21
GHCND:USW00094846,2017-05-26,7.6,0.53,60.0,71.0,52.0,2017,21
GHCND:USW00094846,2017-05-27,5.4,0.0,62.0,78.0,52.0,2017,21
GHCND:USW00094846,2017-05-28,6.9,0.0,68.0,77.0,56.0,2017,21
GHCND:USW00094846,2017-05-29,11.6,0.0,69.0,77.0,55.0,2017,22
GHCND:USW00094846,2017-05-30,11.6,0.0,64.0,74.0,54.0,2017,22
GHCND:USW00094846,2017-05-31,10.5,0.0,64.0,74.0,52.0,2017,22
GHCND:USW00094846,2017-06-01,4.7,0.0,66.0,81.0,51.0,2017,22
GHCND:USW00094846,2017-06-02,5.4,0.0,71.0,86.0,53.0,2017,22
GHCND:USW00094846,2017-06-03,6.0,0.0,73.0,84.0,57.0,2017,22
GHCND:USW00094846,2017-06-04,8.5,0.0,80.0,92.0,66.0,2017,22
GHCND:USW00094846,2017-06-05,14.1,0.0,70.0,75.0,59.0,2017,23
GHCND:USW00094846,2017-06-06,13.9,0.0,65.0,76.0,54.0,2017,23
GHCND:USW00094846,2017-06-07,8.1,0.0,67.0,77.0,56.0,2017,23
GHCND:USW00094846,2017-06-08,4.3,0.06,69.0,83.0,53.0,2017,23
GHCND:USW00094846,2017-06-09,8.9,0.0,74.0,87.0,65.0,2017,23
GHCND:USW00094846,2017-06-10,14.1,0.0,76.0,90.0,64.0,2017,23
GHCND:USW00094846,2017-06-11,15.0,0.0,82.0,93.0,73.0,2017,23
GHCND:USW00094846,2017-06-12,11.6,0.0,85.0,95.0,73.0,2017,24
GHCND:USW00094846,2017-06-13,6.9,0.0,80.0,88.0,68.0,2017,24
GHCND:USW00094846,2017-06-14,9.8,0.59,77.0,92.0,68.0,2017,24
GHCND:USW00094846,2017-06-15,7.8,0.07,76.0,91.0,68.0,2017,24
GHCND:USW00094846,2017-06-16,10.3,0.22,77.0,86.0,67.0,2017,24
GHCND:USW00094846,2017-06-17,8.5,0.42,78.0,87.0,69.0,2017,24
GHCND:USW00094846,2017-06-18,13.6,0.0,74.0,79.0,69.0,2017,24
GHCND:USW00094846,2017-06-19,10.1,0.03,70.0,80.0,62.0,2017,25
GHCND:USW00094846,2017-06-20,9.6,0.0,67.0,80.0,58.0,2017,25
GHCND:USW00094846,2017-06-21,7.2,0.0,68.0,80.0,55.0,2017,25
GHCND:USW00094846,2017-06-22,14.5,0.0,78.0,88.0,68.0,2017,25
GHCND:USW00094846,2017-06-23,12.3,0.71,77.0,83.0,66.0,2017,25
GHCND:USW00094846,2017-06-24,12.3,0.02,70.0,75.0,59.0,2017,25
GHCND:USW00094846,2017-06-25,12.8,0.0,64.0,72.0,54.0,2017,25
GHCND:USW00094846,2017-06-26,12.3,0.0,64.0,75.0,54.0,2017,26
GHCND:USW00094846,2017-06-27,6.7,0.0,65.0,78.0,50.0,2017,26
GHCND:USW00094846,2017-06-28,15.2,1.3,68.0,80.0,58.0,2017,26
GHCND:USW00094846,2017-06-29,11.4,0.02,74.0,81.0,66.0,2017,26
GHCND:USW00094846,2017-06-30,6.5,0.0,73.0,84.0,64.0,2017,26
GHCND:USW00094846,2017-07-01,10.5,0.0,75.0,82.0,66.0,2017,26
GHCND:USW00094846,2017-07-02,9.6,0.0,74.0,89.0,62.0,2017,26
GHCND:USW00094846,2017-07-03,8.7,0.04,73.0,80.0,66.0,2017,27
GHCND:USW00094846,2017-07-04,7.4,0.0,72.0,83.0,64.0,2017,27
GHCND:USW00094846,2017-07-05,5.8,0.0,76.0,89.0,65.0,2017,27
GHCND:USW00094846,2017-07-06,7.2,0.0,81.0,93.0,69.0,2017,27
GHCND:USW00094846,2017-07-07,8.5,0.0,81.0,89.0,63.0,2017,27
GHCND:USW00094846,2017-07-08,6.7,0.0,71.0,80.0,62.0,2017,27
GHCND:USW00094846,2017-07-09,8.3,0.0,73.0,86.0,63.0,2017,27
GHCND:USW00094846,2017-07-10,6.7,0.73,77.0,84.0,67.0,2017,28
GHCND:USW00094846,2017-07-11,5.6,0.56,76.0,85.0,70.0,2017,28
GHCND:USW00094846,2017-07-12,10.5,1.77,75.0,81.0,68.0,2017,28
GHCND:USW00094846,2017-07-13,10.5,0.0,78.0,83.0,72.0,2017,28
GHCND:USW00094846,2017-07-14,8.7,0.0,71.0,73.0,63.0,2017,28
GHCND:USW00094846,2017-07-15,5.8,0.0,70.0,81.0,60.0,2017,28
GHCND:USW00094846,2017-07-16,11.6,0.0,72.0,78.0,60.0,2017,28
GHCND:USW00094846,2017-07-17,6.3,0.0,67.0,79.0,56.0,2017,29
GHCND:USW00094846,2017-07-18,4.0,0.0,74.0,89.0,60.0,2017,29
GHCND:USW00094846,2017-07-19,7.6,0.48,80.0,88.0,70.0,2017,29
GHCND:USW00094846,2017-07-20,7.8,1.77,77.0,88.0,69.0,2017,29
GHCND:USW00094846,2017-07-21,6.9,1.43,80.0,89.0,72.0,2017,29
GHCND:USW00094846,2017-07-22,8.5,0.66,77.0,88.0,72.0,2017,29
GHCND:USW00094846,2017-07-23,5.8,0.21,79.0,90.0,70.0,2017,29
GHCND:USW00094846,2017-07-24,11.0,0.0,71.0,74.0,66.0,2017,30
GHCND:USW00094846,2017-07-25,8.1,0.0,71.0,82.0,61.0,2017,30
GHCND:USW00094846,2017-07-26,7.2,0.03,75.0,85.0,65.0,2017,30
GHCND:USW00094846,2017-07-27,11.2,0.0,78.0,82.0,70.0,2017,30
GHCND:USW00094846,2017-07-28,13.9,0.0,74.0,79.0,67.0,2017,30
GHCND:USW00094846,2017-07-29,9.8,0.0,72.0,79.0,64.0,2017,30
GHCND:USW00094846,2017-07-30,5.1,0.0,73.0,84.0,62.0,2017,30
GHCND:USW00094846,2017-07-31,2.9,0.0,76.0,86.0,65.0,2017,31
GHCND:USW00094846,2017-08-01,5.4,0.92,76.0,86.0,67.0,2017,31
GHCND:USW00094846,2017-08-02,6.9,0.0,77.0,87.0,66.0,2017,31
GHCND:USW00094846,2017-08-03,9.2,0.88,75.0,84.0,61.0,2017,31
GHCND:USW00094846,2017-08-04,13.9,0.0,63.0,68.0,56.0,2017,31
GHCND:USW00094846,2017-08-05,7.4,0.0,68.0,80.0,60.0,2017,31
GHCND:USW00094846,2017-08-06,4.0,0.0,71.0,77.0,63.0,2017,31
GHCND:USW00094846,2017-08-07,7.8,0.0,69.0,76.0,61.0,2017,32
GHCND:USW00094846,2017-08-08,5.6,0.0,70.0,84.0,58.0,2017,32
GHCND:USW00094846,2017-08-09,5.1,0.0,73.0,83.0,61.0,2017,32
GHCND:USW00094846,2017-08-10,8.3,0.03,74.0,84.0,62.0,2017,32
GHCND:USW00094846,2017-08-11,9.4,0.0,71.0,78.0,65.0,2017,32
GHCND:USW00094846,2017-08-12,7.4,0.0,68.0,77.0,60.0,2017,32
GHCND:USW00094846,2017-08-13,4.0,0.0,69.0,80.0,57.0,2017,32
GHCND:USW00094846,2017-08-14,4.3,0.0,72.0,83.0,62.0,2017,33
GHCND:USW00094846,2017-08-15,7.6,0.0,75.0,84.0,68.0,2017,33
GHCND:USW00094846,2017-08-16,8.1,0.17,75.0,88.0,67.0,2017,33
GHCND:USW00094846,2017-08-17,14.3,0.02,77.0,82.0,72.0,2017,33
GHCND:USW00094846,2017-08-18,11.0,0.0,74.0,82.0,67.0,2017,33
GHCND:USW00094846,2017-08-19,4.9,0.0,74.0,86.0,63.0,2017,33
GHCND:USW00094846,2017-08-20,5.8,0.0,75.0,90.0,63.0,2017,33
GHCND:USW00094846,2017-08-21,8.5,0.03,78.0,87.0,71.0,2017,34
GHCND:USW00094846,2017-08-22,13.4,0.02,76.0,82.0,64.0,2017,34
GHCND:USW00094846,2017-08-23,9.2,0.0,70.0,79.0,60.0,2017,34
GHCND:USW00094846,2017-08-24,8.5,0.0,67.0,75.0,56.0,2017,34
GHCND:USW00094846,2017-08-25,5.4,0.0,64.0,74.0,52.0,2017,34
GHCND:USW00094846,2017-08-26,7.2,0.0,67.0,78.0,56.0,2017,34
GHCND:USW00094846,2017-08-27,8.5,0.01,68.0,78.0,62.0,2017,34
GHCND:USW00094846,2017-08-28,5.8,0.36,70.0,80.0,64.0,2017,35
GHCND:USW00094846,2017-08-29,5.4,0.07,68.0,76.0,61.0,2017,35
GHCND:USW00094846,2017-08-30,5.6,0.0,70.0,82.0,60.0,2017,35
GHCND:USW00094846,2017-08-31,13.4,0.0,69.0,73.0,64.0,2017,35
GHCND:USW00094846,2017-09-01,11.9,0.0,64.0,69.0,50.0,2017,35
GHCND:USW00094846,2017-09-02,4.7,0.25,62.0,75.0,50.0,2017,35
GHCND:USW00094846,2017-09-03,7.4,0.0,68.0,84.0,57.0,2017,35
GHCND:USW00094846,2017-09-04,12.8,0.0,73.0,82.0,62.0,2017,36
GHCND:USW00094846,2017-09-05,12.5,0.0,63.0,70.0,54.0,2017,36
GHCND:USW00094846,2017-09-06,10.3,0.0,58.0,67.0,49.0,2017,36
GHCND:USW00094846,2017-09-07,8.5,0.0,60.0,71.0,52.0,2017,36
GHCND:USW00094846,2017-09-08,7.4,0.0,62.0,69.0,58.0,2017,36
GHCND:USW00094846,2017-09-09,8.3,0.0,63.0,72.0,54.0,2017,36
GHCND:USW00094846,2017-09-10,6.3,0.0,61.0,70.0,50.0,2017,36
GHCND:USW00094846,2017-09-11,4.7,0.0,62.0,75.0,52.0,2017,37
GHCND:USW00094846,2017-09-12,6.9,0.0,65.0,77.0,54.0,2017,37
GHCND:USW00094846,2017-09-13,6.5,0.0,66.0,77.0,58.0,2017,37
GHCND:USW00094846,2017-09-14,5.1,0.0,68.0,81.0,59.0,2017,37
GHCND:USW00094846,2017-09-15,9.4,0.0,73.0,87.0,62.0,2017,37
GHCND:USW00094846,2017-09-16,8.5,0.0,77.0,88.0,65.0,2017,37
GHCND:USW00094846,2017-09-17,7.6,0.0,77.0,86.0,63.0,2017,37
GHCND:USW00094846,2017-09-18,7.6,0.0,68.0,77.0,58.0,2017,38
GHCND:USW00094846,2017-09-19,6.5,0.07,70.0,79.0,64.0,2017,38
GHCND:USW00094846,2017-09-20,10.7,0.0,75.0,92.0,62.0,2017,38
GHCND:USW00094846,2017-09-21,5.8,0.0,83.0,94.0,72.0,2017,38
GHCND:USW00094846,2017-09-22,6.9,0.0,84.0,94.0,71.0,2017,38
GHCND:USW00094846,2017-09-23,6.0,0.0,83.0,95.0,72.0,2017,38
GHCND:USW00094846,2017-09-24,6.3,0.0,81.0,93.0,70.0,2017,38
GHCND:USW00094846,2017-09-25,6.5,0.0,79.0,92.0,67.0,2017,39
GHCND:USW00094846,2017-09-26,9.6,0.0,80.0,92.0,70.0,2017,39
GHCND:USW00094846,2017-09-27,11.9,0.0,70.0,72.0,56.0,2017,39
GHCND:USW00094846,2017-09-28,6.7,0.0,62.0,74.0,53.0,2017,39
GHCND:USW00094846,2017-09-29,10.5,0.0,64.0,70.0,56.0,2017,39
GHCND:USW00094846,2017-09-30,7.6,0.0,61.0,68.0,53.0,2017,39
GHCND:USW00094846,2017-10-01,10.3,0.0,59.0,72.0,48.0,2017,39
GHCND:USW00094846,2017-10-02,12.5,0.0,69.0,83.0,58.0,2017,40
GHCND:USW00094846,2017-10-03,14.8,0.0,73.0,78.0,67.0,2017,40
GHCND:USW00094846,2017-10-04,7.6,0.03,71.0,76.0,58.0,2017,40
GHCND:USW00094846,2017-10-05,5.8,0.01,65.0,77.0,54.0,2017,40
GHCND:USW00094846,2017-10-06,8.7,0.3,64.0,69.0,60.0,2017,40
GHCND:USW00094846,2017-10-07,17.7,0.43,69.0,79.0,60.0,2017,40
GHCND:USW00094846,2017-10-08,7.2,0.0,65.0,78.0,54.0,2017,40
GHCND:USW00094846,2017-10-09,5.6,0.0,66.0,81.0,52.0,2017,41
GHCND:USW00094846,2017-10-10,13.9,0.78,62.0,63.0,58.0,2017,41
GHCND:USW00094846,2017-10-11,12.8,0.79,59.0,62.0,56.0,2017,41
GHCND:USW00094846,2017-10-12,6.7,0.0,58.0,60.0,56.0,2017,41
GHCND:USW00094846,2017-10-13,8.1,0.0,61.0,73.0,55.0,2017,41
GHCND:USW00094846,2017-10-14,8.7,4.19,64.0,66.0,62.0,2017,41
GHCND:USW00094846,2017-10-15,15.7,0.2,60.0,68.0,47.0,2017,41
GHCND:USW00094846,2017-10-16,7.4,0.0,52.0,63.0,43.0,2017,42
GHCND:USW00094846,2017-10-17,11.9,0.0,57.0,70.0,49.0,2017,42
GHCND:USW00094846,2017-10-18,12.8,0.0,59.0,71.0,47.0,2017,42
GHCND:USW00094846,2017-10-19,6.5,0.0,61.0,70.0,51.0,2017,42
GHCND:USW00094846,2017-10-20,8.9,0.0,61.0,78.0,51.0,2017,42
GHCND:USW00094846,2017-10-21,15.0,0.0,67.0,77.0,60.0,2017,42
GHCND:USW00094846,2017-10-22,13.2,0.37,66.0,70.0,51.0,2017,42
GHCND:USW00094846,2017-10-23,9.2,0.73,52.0,54.0,50.0,2017,43
GHCND:USW00094846,2017-10-24,12.5,0.87,48.0,50.0,42.0,2017,43
GHCND:USW00094846,2017-10-25,6.0,0.0,44.0,53.0,38.0,2017,43
GHCND:USW00094846,2017-10-26,11.6,0.0,47.0,60.0,36.0,2017,43
GHCND:USW00094846,2017-10-27,15.7,0.0,45.0,52.0,38.0,2017,43
GHCND:USW00094846,2017-10-28,10.5,0.0,38.0,40.0,36.0,2017,43
GHCND:USW00094846,2017-10-29,8.1,0.0,40.0,46.0,33.0,2017,43
GHCND:USW00094846,2017-10-30,16.3,0.0,45.0,50.0,37.0,2017,44
GHCND:USW00094846,2017-10-31,11.4,0.0,38.0,40.0,34.0,2017,44
GHCND:USW00094846,2017-11-01,9.8,0.23,39.0,44.0,36.0,2017,44
GHCND:USW00094846,2017-11-02,5.4,0.02,47.0,51.0,44.0,2017,44
GHCND:USW00094846,2017-11-03,10.5,0.0,44.0,48.0,38.0,2017,44
GHCND:USW00094846,2017-11-04,7.8,0.48,46.0,50.0,42.0,2017,44
GHCND:USW00094846,2017-11-05,7.8,0.02,49.0,52.0,42.0,2017,44
GHCND:USW00094846,2017-11-06,9.2,0.0,41.0,43.0,32.0,2017,45
GHCND:USW00094846,2017-11-07,9.4,0.0,40.0,45.0,32.0,2017,45
GHCND:USW00094846,2017-11-08,4.5,0.0,37.0,46.0,29.0,2017,45
GHCND:USW00094846,2017-11-09,13.6,0.0,39.0,46.0,21.0,2017,45
GHCND:USW00094846,2017-11-10,8.5,0.0,24.0,30.0,18.0,2017,45
GHCND:USW00094846,2017-11-11,8.9,0.0,29.0,38.0,26.0,2017,45
GHCND:USW00094846,2017-11-12,4.5,0.13,38.0,40.0,36.0,2017,45
GHCND:USW00094846,2017-11-13,6.0,0.0,36.0,40.0,31.0,2017,46
GHCND:USW00094846,2017-11-14,10.7,0.0,39.0,49.0,30.0,2017,46
GHCND:USW00094846,2017-11-15,15.7,0.17,48.0,52.0,35.0,2017,46
GHCND:USW00094846,2017-11-16,9.8,0.0,36.0,38.0,33.0,2017,46
GHCND:USW00094846,2017-11-17,13.6,0.14,38.0,48.0,35.0,2017,46
GHCND:USW00094846,2017-11-18,15.2,0.54,43.0,48.0,35.0,2017,46
GHCND:USW00094846,2017-11-19,13.2,0.0,35.0,37.0,30.0,2017,46
