Year,week,week_ending,pct_harvested
2024,38,2024-09-22,14
2024,39,2024-09-29,21
2024,40,2024-10-06,32
2024,41,2024-10-13,49
2024,42,2024-10-20,67
2024,43,2024-10-27,87
2024,44,2024-11-03,95
2024,45,2024-11-10,97
2025,35,2025-08-31,0
2025,36,2025-09-07,2
2025,37,2025-09-14,5
2025,38,2025-09-21,12
2025,39,2025-09-28,21
