year,week,prcp_week_in,TMAX,TMIN,TAVG,AWND,capacity_factor,rain_category,labor_hours,plant_start_week,plant_end_week,harvest_start_week,harvest_end_week,is_plant_window,is_harvest_window,labor_hours_base,harvest_weather_factor
2015,3,0.1476264591439687,33.54135338345865,13.803030303030305,25.2,8.815584415584414,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,4,0.1305555555555552,39.53383458646616,26.900763358778622,34.142857142857146,6.849350649350649,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,5,0.8023715415019759,35.6390977443609,21.293233082706767,30.571428571428573,9.894805194805194,0.7,moderate,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,6,0.2797286821705425,31.98496240601504,11.16793893129771,22.942857142857143,9.623376623376624,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,7,0.0084108527131776,29.11278195488721,11.353383458646617,21.11428571428572,11.131168831168832,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,8,0.1740540540540536,21.0,4.037593984962406,14.771428571428572,9.672727272727272,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,9,0.3178378378378378,22.4812030075188,0.0526315789473684,12.914285714285716,8.05974025974026,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,10,0.1872156862745092,33.21969696969697,11.87878787878788,25.228571428571428,9.261842105263158,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,11,0.1943243243243239,57.31578947368421,32.1203007518797,46.2,6.635064935064935,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,12,0.0520930232558134,55.54887218045113,33.96992481203007,46.48571428571429,9.328571428571427,0.9,light,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
2015,13,0.5970270270270264,43.62406015037594,26.902255639097746,36.02857142857143,10.823376623376625,0.7,moderate,72255.85714285714,16,20,36,43.0,False,False,5057910.0,
