field_id,plant_week,harvest_week,early_penalty,late_penalty,frost_penalty,total_penalty,status,makespan,sim,error
F007,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F008,15.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F009,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F010,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F011,19.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F012,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F013,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F014,20.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F015,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F016,18.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F017,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F018,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F019,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F020,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F021,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F022,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F023,19.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F024,15.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F025,19.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,4,
F001,18.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F002,17.0,40.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F003,16.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F004,18.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F005,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F006,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F007,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F008,15.0,35.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F009,15.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F010,17.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F011,18.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F012,16.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F013,19.0,33.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F014,19.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F015,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F016,19.0,32.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F017,16.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F018,18.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F019,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F020,18.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F021,19.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F022,19.0,32.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F023,19.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F024,18.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F025,21.0,34.0,0.0,0.0,0.0,0.0,OK,44.0,5,
F001,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F002,16.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F003,20.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F004,21.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F005,18.0,35.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F006,16.0,31.0,0.9999929447455322,0.0,0.0,0.9999929447455322,EARLY,44.0,6,
F007,16.0,40.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F008,20.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F009,19.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F010,18.0,33.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F011,19.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F012,16.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F013,18.0,32.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F014,19.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F015,18.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F016,17.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F017,19.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F018,15.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F019,18.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F020,19.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F021,18.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F022,18.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F023,20.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F024,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F025,17.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,6,
F001,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F002,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F003,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F004,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F005,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F006,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F007,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F008,18.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F009,21.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F010,16.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F011,19.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F012,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F013,17.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F014,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F015,15.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F016,15.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F017,18.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F018,19.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F019,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F020,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F021,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F022,17.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F023,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F024,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F025,21.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,7,
F001,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F002,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F003,21.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F004,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F005,17.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F006,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F007,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F008,20.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F009,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F010,19.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F011,15.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F012,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F013,19.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F014,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F015,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F016,16.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F017,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F018,20.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F019,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F020,18.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F021,18.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F022,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F023,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F024,17.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F025,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,8,
F001,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F002,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F003,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F004,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F005,15.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F006,15.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F007,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F008,18.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F009,16.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F010,19.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F011,20.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F012,17.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F013,16.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F014,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F015,19.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F016,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F017,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F018,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F019,19.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F020,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F021,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F022,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F023,20.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F024,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F025,19.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,9,
F001,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F002,17.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F003,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F004,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F005,17.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F006,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F007,16.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F008,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F009,16.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F010,19.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F011,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F012,18.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F013,15.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F014,19.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F015,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F016,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F017,16.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F018,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F019,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F020,20.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F021,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F022,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F023,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F024,15.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F025,20.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,10,
F001,19.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F002,19.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F003,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F004,19.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F005,16.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F006,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F007,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F008,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F009,17.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F010,17.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F011,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F012,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F013,20.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F014,18.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F015,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F016,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F017,18.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F018,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F019,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F020,18.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F021,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F022,18.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F023,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F024,15.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F025,19.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,11,
F001,19.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F002,21.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F003,18.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F004,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F005,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F006,18.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F007,15.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F008,15.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F009,19.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F010,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F011,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F012,20.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F013,17.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F014,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F015,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F016,18.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F017,16.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F018,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F019,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F020,19.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F021,16.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F022,17.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F023,20.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F024,19.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F025,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,12,
F001,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F002,17.0,35.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F003,19.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F004,16.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F005,16.0,34.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F006,21.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F007,20.0,40.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F008,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F009,21.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F010,18.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F011,19.0,32.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F012,19.0,36.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F013,16.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F014,20.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F015,19.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F016,18.0,44.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F017,16.0,33.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F018,17.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F019,16.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F020,15.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F021,18.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F022,18.0,39.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F023,18.0,37.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F024,15.0,38.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F025,16.0,42.0,0.0,0.0,0.0,0.0,OK,44.0,13,
F001,17.0,32.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F002,15.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F003,16.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F004,20.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F005,16.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F006,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F007,15.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F008,21.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F009,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F010,19.0,33.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F011,19.0,39.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F012,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F013,16.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F014,19.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F015,18.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F016,19.0,38.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F017,16.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F018,17.0,36.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F019,20.0,40.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F020,20.0,34.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F021,16.0,37.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F022,16.0,35.0,0.0,0.0,0.0,0.0,OK,42.0,14,
F023,18.0,42.0,0.0,0.0,0.0,0.0,OK,42.0,14,
